d2024-11-03 23:32:38,382 - INFO - Loading pretrained weights from Hugging Face hub (timm/resnext50_32x4d.a1h_in1k)
2024-11-03 23:53:52,148 - INFO - train Loss: 0.4903 Acc: 0.8232
2024-11-03 23:54:49,281 - INFO - New best model found at epoch 5 with validation loss 0.6606
2024-11-03 23:54:49,282 - INFO - Best model saved at /home/samic_yongjian/temp/SC4000_Machine_Learning/output/resnext/20241103_232814/best_model.pth
2024-11-03 23:54:49,282 - INFO - val Loss: 0.6606 Acc: 0.7582
2024-11-03 23:54:49,282 - INFO - Epoch complete!
2024-11-03 23:54:49,282 - INFO - Epoch 6/20
2024-11-03 23:54:49,282 - INFO - ----------
2024-11-03 23:58:17,939 - INFO - train Loss: 0.3866 Acc: 0.8626
2024-11-03 23:59:15,039 - INFO - New best model found at epoch 6 with validation loss 0.6213
2024-11-03 23:59:15,039 - INFO - Best model saved at /home/samic_yongjian/temp/SC4000_Machine_Learning/output/resnext/20241103_232814/best_model.pth
2024-11-03 23:59:15,039 - INFO - val Loss: 0.6213 Acc: 0.7789
2024-11-03 23:59:15,039 - INFO - Epoch complete!
2024-11-03 23:59:15,039 - INFO - Epoch 7/20
2024-11-03 23:59:15,039 - INFO - ----------
2024-11-04 00:02:29,061 - INFO - train Loss: 0.3003 Acc: 0.8956
2024-11-04 00:03:18,914 - INFO - New best model found at epoch 7 with validation loss 0.5798
2024-11-04 00:03:18,914 - INFO - Best model saved at /home/samic_yongjian/temp/SC4000_Machine_Learning/output/resnext/20241103_232814/best_model.pth
2024-11-04 00:03:18,914 - INFO - val Loss: 0.5798 Acc: 0.8011
2024-11-04 00:03:18,914 - INFO - Epoch complete!
2024-11-04 00:03:18,914 - INFO - Epoch 8/20
2024-11-04 00:03:18,914 - INFO - ----------
2024-11-04 00:06:24,051 - INFO - train Loss: 0.2329 Acc: 0.9195
2024-11-04 00:07:14,431 - INFO - New best model found at epoch 8 with validation loss 0.5676
2024-11-04 00:07:14,431 - INFO - Best model saved at /home/samic_yongjian/temp/SC4000_Machine_Learning/output/resnext/20241103_232814/best_model.pth
2024-11-04 00:07:14,431 - INFO - val Loss: 0.5676 Acc: 0.8144
2024-11-04 00:07:14,431 - INFO - Epoch complete!
2024-11-04 00:07:14,431 - INFO - Epoch 9/20
2024-11-04 00:07:14,431 - INFO - ----------
2024-11-04 00:10:17,926 - INFO - train Loss: 0.1823 Acc: 0.9383
2024-11-04 00:11:07,349 - INFO - New best model found at epoch 9 with validation loss 0.5658
2024-11-04 00:11:07,349 - INFO - Best model saved at /home/samic_yongjian/temp/SC4000_Machine_Learning/output/resnext/20241103_232814/best_model.pth
2024-11-04 00:11:07,349 - INFO - val Loss: 0.5658 Acc: 0.8223
2024-11-04 00:11:07,349 - INFO - Epoch complete!
2024-11-04 00:11:07,349 - INFO - Epoch 10/20
2024-11-04 00:11:07,349 - INFO - ----------
2024-11-04 00:14:12,034 - INFO - train Loss: 0.1489 Acc: 0.9505
2024-11-04 00:15:01,799 - INFO - New best model found at epoch 10 with validation loss 0.5491
2024-11-04 00:15:01,799 - INFO - Best model saved at /home/samic_yongjian/temp/SC4000_Machine_Learning/output/resnext/20241103_232814/best_model.pth
2024-11-04 00:15:01,800 - INFO - val Loss: 0.5491 Acc: 0.8286
2024-11-04 00:15:01,800 - INFO - Epoch complete!
2024-11-04 00:15:01,800 - INFO - Epoch 11/20
2024-11-04 00:15:01,800 - INFO - ----------
2024-11-04 00:18:06,373 - INFO - train Loss: 0.1238 Acc: 0.9581
2024-11-04 00:18:56,019 - INFO - New best model found at epoch 11 with validation loss 0.5223
2024-11-04 00:18:56,019 - INFO - Best model saved at /home/samic_yongjian/temp/SC4000_Machine_Learning/output/resnext/20241103_232814/best_model.pth
2024-11-04 00:18:56,020 - INFO - val Loss: 0.5223 Acc: 0.8426
2024-11-04 00:18:56,020 - INFO - Epoch complete!
2024-11-04 00:18:56,020 - INFO - Epoch 12/20
2024-11-04 00:18:56,020 - INFO - ----------
2024-11-04 00:22:00,292 - INFO - train Loss: 0.1013 Acc: 0.9658
2024-11-04 00:23:01,728 - INFO - val Loss: 0.5451 Acc: 0.8421
2024-11-04 00:23:01,729 - INFO - Epoch complete!
2024-11-04 00:23:01,729 - INFO - Epoch 13/20
2024-11-04 00:23:01,729 - INFO - ----------
2024-11-04 00:26:44,194 - INFO - train Loss: 0.0892 Acc: 0.9699
2024-11-04 00:27:42,613 - INFO - val Loss: 0.5493 Acc: 0.8449
2024-11-04 00:27:42,614 - INFO - Epoch complete!
2024-11-04 00:27:42,614 - INFO - Epoch 14/20
2024-11-04 00:27:42,614 - INFO - ----------
2024-11-04 00:31:18,922 - INFO - train Loss: 0.0742 Acc: 0.9748
2024-11-04 00:32:17,033 - INFO - val Loss: 0.5406 Acc: 0.8523
2024-11-04 00:32:17,033 - INFO - Epoch complete!
2024-11-04 00:32:17,033 - INFO - Epoch 15/20
2024-11-04 00:32:17,033 - INFO - ----------
2024-11-04 00:35:50,892 - INFO - train Loss: 0.0661 Acc: 0.9782
2024-11-04 00:36:50,133 - INFO - val Loss: 0.5658 Acc: 0.8499
2024-11-04 00:36:50,134 - INFO - Epoch complete!
2024-11-04 00:36:50,134 - INFO - Epoch 16/20
2024-11-04 00:36:50,134 - INFO - ----------
2024-11-04 00:40:24,030 - INFO - train Loss: 0.0604 Acc: 0.9804
2024-11-04 00:41:22,844 - INFO - val Loss: 0.5359 Acc: 0.8574
2024-11-04 00:41:22,845 - INFO - Epoch complete!
2024-11-04 00:41:22,845 - INFO - Epoch 17/20
2024-11-04 00:41:22,845 - INFO - ----------
2024-11-04 00:45:06,062 - INFO - train Loss: 0.0591 Acc: 0.9803
2024-11-04 00:46:02,562 - INFO - val Loss: 0.5435 Acc: 0.8568
2024-11-04 00:46:02,562 - INFO - Epoch complete!
2024-11-04 00:46:02,562 - INFO - Epoch 18/20
2024-11-04 00:46:02,562 - INFO - ----------2024-11-04 00:49:26,303 - INFO - train Loss: 0.0378 Acc: 0.9879
2024-11-04 00:50:21,754 - INFO - New best model found at epoch 18 with validation loss 0.4745
2024-11-04 00:50:21,754 - INFO - Best model saved at /home/samic_yongjian/temp/SC4000_Machine_Learning/output/resnext/20241103_232814/best_model.pth
2024-11-04 00:50:21,754 - INFO - val Loss: 0.4745 Acc: 0.8755
2024-11-04 00:50:21,754 - INFO - Epoch complete!
2024-11-04 00:50:21,754 - INFO - Epoch 19/20
2024-11-04 00:50:21,754 - INFO - ----------
2024-11-04 00:53:46,081 - INFO - train Loss: 0.0260 Acc: 0.9924
2024-11-04 00:54:41,775 - INFO - val Loss: 0.4854 Acc: 0.8752
2024-11-04 00:54:41,775 - INFO - Epoch complete!
2024-11-04 00:54:41,775 - INFO - Epoch 20/20
2024-11-04 00:54:41,775 - INFO - ----------
2024-11-04 00:58:04,018 - INFO - train Loss: 0.0225 Acc: 0.9931
2024-11-04 00:58:59,134 - INFO - New best model found at epoch 20 with validation loss 0.4743
2024-11-04 00:58:59,134 - INFO - Best model saved at /home/samic_yongjian/temp/SC4000_Machine_Learning/output/resnext/20241103_232814/best_model.pth
2024-11-04 00:58:59,134 - INFO - val Loss: 0.4743 Acc: 0.8758
2024-11-04 00:58:59,134 - INFO - Epoch complete!
2024-11-04 00:58:59,223 - INFO - Model saved to /home/samic_yongjian/temp/SC4000_Machine_Learning/output/resnext/20241103_232814/last.pth
2024-11-04 00:58:59,301 - INFO - Best validation probabilities saved at /home/samic_yongjian/temp/SC4000_Machine_Learning/output/resnext/20241103_232814/best_validation_probabilities.csv
2024-11-04 00:58:59,432 - INFO - Training curves saved at /home/samic_yongjian/temp/SC4000_Machine_Learning/output/resnext/20241103_232814/training_curves.png
2024-11-04 00:59:53,950 - INFO - Test probabilities saved at /home/samic_yongjian/temp/SC4000_Machine_Learning/output/resnext/20241103_232814/test_probabilities.csv
2024-11-04 00:59:54,019 - INFO - Log Loss: 0.4917
2024-11-04 00:59:54,019 - INFO - Accuracy: 0.8734
2024-11-04 00:59:54,019 - INFO - Precision: 0.8734
2024-11-04 00:59:54,019 - INFO - Recall: 0.8734
2024-11-04 00:59:54,019 - INFO - F1 Score: 0.8732
2024-11-04 00:59:54,019 - INFO - F2 Score: 0.8733
2024-11-04 00:59:54,120 - INFO - Confusion matrix saved at /home/samic_yongjian/temp/SC4000_Machine_Learning/output/resnext/20241103_232814/test_confusion_matrix.png
